id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,date_year
33250,Louis Sherry,Louis Sherry,,,,26.5x15cm folded; 26.5x30cm open,,,1917-1000_wotm,1917-12-19,Louis Sherry,Dollars,$,complete,5,479,1917.0
33251,Pennsylvania Railroad,Pennsylvania Railroad,,,,21.5x13.5cm,,,1917-1001_wotm,1917-12-19,Pennsylvania Railroad,Dollars,$,complete,2,255,1917.0
33252,Donahue's Lunch,Donahue's Lunch,,,,27.5x21.5cm,,,1917-1002_wotm,1917-12-19,Donahue's Lunch,Dollars,$,under review,1,55,1917.0
33253,The London Lounge,The London Lounge,,,,13x20.5cm,,,1917-0773_wotm,1917-12-01,The London Lounge,,,under review,2,12,1917.0
33254,The London Lounge,The London Lounge,,,,13x20.5cm,,,1917-0774_wotm,1917-12-03,The London Lounge,,,complete,3,17,1917.0
33255,The London Lounge,The London Lounge,,,,13x20.5cm,,,1917-0775_wotm,1917-12-04,The London Lounge,,,under review,2,9,1917.0
33256,Louis Sherry,Louis Sherry,,,,26.5x15.5cm,,menu also printed in French,1917-0776_wotm,1917-12-01,Louis Sherry,Dollars,$,under review,4,487,1917.0
33257,Louis Sherry,Louis Sherry,,,,26.5x15.5cm,,menu also printed in French,1917-0777_wotm,1917-12-03,Louis Sherry,Dollars,$,under review,4,493,1917.0
33258,Louis Sherry,Louis Sherry,,,,26.5x15.5cm,,menu also printed in French,1917-0778_wotm,1917-12-04,Louis Sherry,Dollars,$,complete,4,455,1917.0
33259,Mendel,Mendel,,,,28x18cm,,,1917-0779_wotm,1917-12-01,Mendel,Dollars,$,complete,2,300,1917.0
33260,Fifth Avenue Restaurant,Fifth Avenue Restaurant,,,,26.5x20.5cm folded; 26.5x41cm open,,,1917-0780_wotm,1917-12-01,Fifth Avenue Restaurant,Dollars,$,complete,3,230,1917.0
33261,Fifth Avenue Restaurant,Fifth Avenue Restaurant,,,,26.5x20.5cm folded; 26.5x41cm open,,,1917-0781_wotm,1917-12-03,Fifth Avenue Restaurant,Dollars,$,complete,3,247,1917.0
33262,The Pekin Resraurant,The Pekin Resraurant,,,,,,,1915-0001,1915-01-01,The Pekin Resraurant,Dollars,$,under review,4,58,1915.0
33263,College Inn Chicago,College Inn Chicago,,,,,,,1915-0002,1915-01-01,College Inn Chicago,,,under review,2,12,1915.0
33264,Thomas Healy,Thomas Healy,,,,,,,1915-0003,1915-01-01,Thomas Healy,Dollars,$,under review,2,51,1915.0
33265,The Marquise,The Marquise,,,,,,,1915-0004,1915-01-01,The Marquise,,,complete,2,31,1915.0
33266,Manhattan Club,Manhattan Club,,,,,,,1915-0005,1915-01-01,Manhattan Club,,,complete,1,23,1915.0
33267,Restaurant name and/or location not given,Restaurant name and/or location not given,,,,,,,1915-0006,1915-01-01,Restaurant name and/or location not given,Dollars,$,complete,1,51,1915.0
33268,Pennsylvania Railroad Restaurants,Pennsylvania Railroad Restaurants,,,,,,,1915-0007,1915-01-01,Pennsylvania Railroad Restaurants,Dollars,$,complete,2,181,1915.0
33269,Pennsylvania Railroad Restaurants,Pennsylvania Railroad Restaurants,,,,,,,1915-0008,1915-01-01,Pennsylvania Railroad Restaurants,Dollars,$,under review,4,96,1915.0
33270,Bellevue - Stratford,Bellevue - Stratford,,,,,,,1915-0009,1915-01-01,Bellevue - Stratford,,,under review,4,22,1915.0
33271,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0010,1915-01-01,Waldorf Astoria,,,under review,8,22,1915.0
33272,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0011,1915-01-01,Waldorf Astoria,,,under review,12,18,1915.0
33273,Delmonicos,Delmonicos,,,,,,,1915-0012,1915-01-01,Delmonicos,,,under review,1,14,1915.0
33274,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0013,1915-01-01,Waldorf Astoria,,,complete,3,17,1915.0
33275,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0014,1915-01-01,Waldorf Astoria,,,complete,6,21,1915.0
33276,U. S. S. NY,U. S. S. NY,,,,,,,1915-0015,1915-01-01,U. S. S. NY,,,under review,2,14,1915.0
33277,Sphinx Club,Sphinx Club,,,,,,,1915-0016,1915-01-01,Sphinx Club,,,under review,3,23,1915.0
33278,South Ferry Hotel,South Ferry Hotel,,,,,,,1915-0017,1915-01-01,South Ferry Hotel,Dollars,$,complete,1,36,1915.0
33279,Hotel Astor,Hotel Astor,,,,,,,1915-0018,1915-01-01,Hotel Astor,,,under review,4,19,1915.0
33280,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0019,1915-01-01,Waldorf Astoria,,,under review,5,22,1915.0
33281,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0020,1915-01-01,Waldorf Astoria,,,under review,7,15,1915.0
33282,Hof Brau Haus,Hof Brau Haus,,,,,,,1915-0021,1915-01-01,Hof Brau Haus,,,under review,4,18,1915.0
33283,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0022,1915-01-01,Waldorf Astoria,,,under review,21,22,1915.0
33284,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0023,1915-01-01,Waldorf Astoria,,,complete,7,22,1915.0
33285,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0024,1915-01-01,Waldorf Astoria,,,under review,6,23,1915.0
33286,Knickerbocker Field Club,Knickerbocker Field Club,,,,,,,1915-0025,1915-01-01,Knickerbocker Field Club,,,under review,1,17,1915.0
33287,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0026,1915-01-01,Waldorf Astoria,,,complete,1,13,1915.0
33288,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0027,1915-01-01,Waldorf Astoria,,,complete,4,19,1915.0
33289,Metropolitan Life Insurance Company,Metropolitan Life Insurance Company,,,,,,,1915-0028,1915-01-01,Metropolitan Life Insurance Company,,,complete,3,12,1915.0
33290,Hotel Majestic,Hotel Majestic,,,,,,,1915-0029,1915-01-01,Hotel Majestic,,,complete,12,24,1915.0
33291,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0030,1915-01-01,Waldorf Astoria,,,complete,14,25,1915.0
